VIN,planned_date,planned_sequence_in_day,planned_global_sequence,model,color,priority,actual_body_sequence,actual_paint_sequence
VIN0000001,2024-01-01,1,1,C-EV,Grey,Normal,1,1
VIN0000002,2024-01-01,2,2,C-EV,White,Normal,2,2
VIN0000003,2024-01-01,3,3,A-Sedan,Blue,Normal,3,3
VIN0000004,2024-01-01,4,4,B-SUV,Grey,Normal,4,4
VIN0000005,2024-01-01,5,5,A-Sedan,Silver,Normal,5,5
VIN0000006,2024-01-01,6,6,B-SUV,Silver,Normal,6,6
VIN0000007,2024-01-01,7,7,A-Sedan,White,Normal,7,7
VIN0000008,2024-01-01,8,8,A-Sedan,Blue,Normal,8,8
VIN0000009,2024-01-01,9,9,B-SUV,Silver,Normal,9,9
VIN0000010,2024-01-01,10,10,B-SUV,Orange,Normal,10,10
VIN0000011,2024-01-01,11,11,A-Sedan,Silver,Normal,11,11
VIN0000012,2024-01-01,12,12,A-Sedan,Silver,Normal,12,12
VIN0000013,2024-01-01,13,13,B-SUV,Orange,Normal,13,13
VIN0000014,2024-01-01,14,14,B-SUV,Silver,Normal,14,14
VIN0000015,2024-01-01,15,15,A-Sedan,Blue,Normal,15,15
VIN0000016,2024-01-01,16,16,A-Sedan,Silver,Normal,16,16
VIN0000017,2024-01-01,17,17,B-SUV,White,Normal,17,17
VIN0000018,2024-01-01,18,18,A-Sedan,White,Normal,18,18
VIN0000019,2024-01-01,19,19,C-EV,Silver,Normal,19,19
VIN0000020,2024-01-01,20,20,C-EV,Red,Normal,20,20
VIN0000021,2024-01-01,21,21,B-SUV,Blue,Normal,21,21
VIN0000022,2024-01-01,22,22,B-SUV,Blue,Normal,22,22
VIN0000023,2024-01-01,23,23,C-EV,Red,Normal,23,23
VIN0000024,2024-01-01,24,24,C-EV,Silver,Normal,24,24
VIN0000025,2024-01-01,25,25,A-Sedan,Orange,Normal,25,25
VIN0000026,2024-01-01,26,26,B-SUV,White,Normal,26,26
VIN0000027,2024-01-01,27,27,B-SUV,Black,Normal,27,27
VIN0000028,2024-01-01,28,28,C-EV,Silver,Normal,28,28
VIN0000029,2024-01-01,29,29,C-EV,Silver,Normal,29,29
VIN0000030,2024-01-01,30,30,A-Sedan,Red,Normal,30,30
VIN0000031,2024-01-01,31,31,A-Sedan,Black,Normal,31,31
