VIN,body_exit_time,body_cycle_min,body_extra_delay_min,actual_body_sequence
VIN0000001,1/1/2024 6:05,3.2331954,0,1
VIN0000002,1/1/2024 6:09,4.233027,0,2
VIN0000003,1/1/2024 6:14,3.6890944,0,3
VIN0000004,1/1/2024 6:19,4.3139054,0,4
VIN0000005,1/1/2024 6:24,4.5384907,0,5
VIN0000006,1/1/2024 6:28,3.827968,0,6
VIN0000007,1/1/2024 6:34,3.9168525,0,7
VIN0000008,1/1/2024 6:38,4.3538185,0,8
VIN0000009,1/1/2024 6:43,4.7388988,0,9
VIN0000010,1/1/2024 6:48,4.7155174,0,10
VIN0000011,1/1/2024 6:53,4.8487671,0,11
VIN0000012,1/1/2024 6:58,3.8109153,0,12
VIN0000013,1/1/2024 7:03,4.3760444,0,13
VIN0000014,1/1/2024 7:08,4.0405022,0,14
VIN0000015,1/1/2024 7:12,4.5876297,0,15
VIN0000016,1/1/2024 7:18,4.1829213,0,16
VIN0000017,1/1/2024 7:23,3.9073969,0,17
VIN0000018,1/1/2024 7:27,4.427101,0,18
VIN0000019,1/1/2024 7:32,4.6960769,0,19
VIN0000020,1/1/2024 7:37,3.7769897,0,20
VIN0000021,1/1/2024 7:42,4.2558175,0,21
VIN0000022,1/1/2024 7:47,5.2057305,0,22
VIN0000023,1/1/2024 7:51,4.0836561,0,23
VIN0000024,1/1/2024 7:56,4.6793663,0,24
VIN0000025,1/1/2024 8:01,4.1210744,0,25
VIN0000026,1/1/2024 8:06,4.3674332,0,26
VIN0000027,1/1/2024 8:11,4.0907735,0,27
VIN0000028,1/1/2024 8:16,4.1300504,0,28
VIN0000029,1/1/2024 8:21,4.2179988,0,29
VIN0000030,1/1/2024 8:25,3.2847194,0,30
VIN0000031,1/1/2024 8:30,3.8856075,0,31
VIN0000032,1/1/2024 8:35,3.840902,0,32
VIN0000033,1/1/2024 8:40,4.4166625,0,33
VIN0000034,1/1/2024 8:45,3.8037954,0,34
VIN0000036,1/1/2024 8:55,3.2787778,0,35
VIN0000037,1/1/2024 9:00,3.8567955,0,36
VIN0000038,1/1/2024 9:04,3.7747974,0,37
VIN0000039,1/1/2024 9:09,3.5878214,0,38
VIN0000040,1/1/2024 9:14,4.096439,0,39
VIN0000041,1/1/2024 9:19,3.6753037,0,40
VIN0000035,1/1/2024 9:24,3.768342,33.8708256,41
VIN0000042,1/1/2024 9:25,4.6622397,0,42
VIN0000043,1/1/2024 9:29,3.7214928,0,43
VIN0000045,1/1/2024 9:38,3.6982923,0,44
VIN0000044,1/1/2024 9:39,3.8756748,6.0193141,45
VIN0000046,1/1/2024 9:43,3.5956799,0,46
VIN0000047,1/1/2024 9:48,4.3239432,0,47
VIN0000048,1/1/2024 9:53,4.4378805,0,48
VIN0000049,1/1/2024 9:58,4.6682659,0,49
VIN0000050,1/1/2024 10:02,4.7086085,0,50
VIN0000051,1/1/2024 10:07,3.8645314,0,51
VIN0000053,1/1/2024 10:17,3.1666188,0,52
VIN0000054,1/1/2024 10:22,4.22961,0,53
VIN0000056,1/1/2024 10:31,4.0298568,0,54
VIN0000052,1/1/2024 10:36,4.4482935,23.7359957,55
VIN0000055,1/1/2024 10:37,4.1889109,10.0123754,56
VIN0000057,1/1/2024 10:38,4.6559805,0,57
VIN0000058,1/1/2024 10:42,5.2937941,0,58
VIN0000059,1/1/2024 10:46,5.114417,0,59
VIN0000060,1/1/2024 10:51,4.3535304,0,60
VIN0000061,1/1/2024 10:56,3.9774567,0,61
VIN0000062,1/1/2024 11:01,3.3668907,0,62
VIN0000063,1/1/2024 11:05,3.0339656,0,63
VIN0000065,1/1/2024 11:15,3.6926416,0,64
VIN0000066,1/1/2024 11:20,4.1877295,0,65
VIN0000067,1/1/2024 11:25,4.7266866,0,66
VIN0000068,1/1/2024 11:30,3.9260004,0,67
VIN0000069,1/1/2024 11:35,4.2317728,0,68
VIN0000064,1/1/2024 11:39,4.2249674,27.6152494,69
VIN0000070,1/1/2024 11:40,3.7761331,0,70
VIN0000071,1/1/2024 11:45,3.6492253,0,71
VIN0000072,1/1/2024 11:49,5.2510182,0,72
VIN0000073,1/1/2024 11:54,3.6691621,0,73
VIN0000074,1/1/2024 12:00,4.4299184,0,74
VIN0000075,1/1/2024 12:04,4.1556555,0,75
VIN0000076,1/1/2024 12:09,3.5530269,0,76
VIN0000077,1/1/2024 12:14,4.1233681,0,77
VIN0000078,1/1/2024 12:19,4.5586459,0,78
VIN0000079,1/1/2024 12:24,2.98789,0,79
VIN0000080,1/1/2024 12:28,4.2303884,0,80
VIN0000081,1/1/2024 12:33,4.3084521,0,81
VIN0000082,1/1/2024 12:38,4.5407178,0,82
VIN0000083,1/1/2024 12:43,4.8855709,0,83
VIN0000084,1/1/2024 12:48,4.3811847,0,84
VIN0000086,1/1/2024 12:58,4.1966685,0,85
VIN0000087,1/1/2024 13:02,3.6850367,0,86
VIN0000085,1/1/2024 13:07,4.7897221,15.2284398,87
VIN0000088,1/1/2024 13:08,4.5961432,0,88
VIN0000089,1/1/2024 13:12,3.1258879,0,89
VIN0000090,1/1/2024 13:17,4.5495193,0,90
VIN0000091,1/1/2024 13:22,4.4819922,0,91
VIN0000092,1/1/2024 13:27,3.9380546,0,92
VIN0000094,1/1/2024 13:36,3.7002755,0,93
VIN0000095,1/1/2024 13:41,4.3021731,0,94
VIN0000093,1/1/2024 13:44,4.2557096,12.4969104,95
VIN0000096,1/1/2024 13:46,3.254122,0,96
VIN0000097,1/1/2024 13:51,3.7615681,0,97
VIN0000098,1/1/2024 13:56,3.6171646,0,98
VIN0000099,1/1/2024 14:01,3.3574239,0,99
VIN0000100,1/1/2024 14:06,5.3033355,0,100
VIN0000101,1/1/2024 14:11,4.1933227,0,101
VIN0000102,1/1/2024 14:15,3.5296819,0,102
VIN0000103,1/1/2024 14:20,3.2127892,0,103
VIN0000104,1/1/2024 14:25,3.5574594,0,104
VIN0000105,1/1/2024 14:30,3.2968705,0,105
VIN0000106,1/1/2024 14:35,4.2190907,0,106
VIN0000107,1/1/2024 14:40,4.1708631,0,107
VIN0000108,1/1/2024 14:45,3.8218853,0,108
VIN0000109,1/1/2024 14:50,4.2588913,0,109
VIN0000110,1/1/2024 14:54,4.9917165,0,110
VIN0000111,1/1/2024 14:59,3.9883088,0,111
VIN0000112,1/1/2024 15:04,3.0547802,0,112
VIN0000113,1/1/2024 15:09,2.8178905,0,113
VIN0000114,1/1/2024 15:13,4.2646218,0,114
VIN0000115,1/1/2024 15:19,3.8911667,0,115
VIN0000116,1/1/2024 15:23,4.3311612,0,116
VIN0000117,1/1/2024 15:28,3.6492003,0,117
VIN0000118,1/1/2024 15:33,3.3152304,0,118
VIN0000119,1/1/2024 15:38,4.0295702,0,119
VIN0000120,1/1/2024 15:43,5.3828365,0,120
VIN0000121,1/1/2024 15:48,4.3693134,0,121
VIN0000122,1/1/2024 15:52,3.522222,0,122
VIN0000123,1/1/2024 15:58,4.785187,0,123
VIN0000124,1/1/2024 16:02,4.4653575,0,124
VIN0000125,1/1/2024 16:07,4.4757426,0,125
VIN0000126,1/1/2024 16:12,3.1104423,0,126
VIN0000127,1/1/2024 16:16,4.5764023,0,127
VIN0000128,1/1/2024 16:22,4.9254387,0,128
VIN0000129,1/1/2024 16:27,3.6523695,0,129
VIN0000130,1/1/2024 16:31,3.8460808,0,130
VIN0000131,1/1/2024 16:37,3.352932,0,131
VIN0000132,1/1/2024 16:41,4.2159928,0,132
VIN0000133,1/1/2024 16:46,4.2351762,0,133
VIN0000134,1/1/2024 16:51,2.9102759,0,134
VIN0000135,1/1/2024 16:56,3.8417609,0,135
VIN0000136,1/1/2024 17:00,4.7681287,0,136
VIN0000137,1/1/2024 17:06,3.7079153,0,137
VIN0000138,1/1/2024 17:10,4.6558679,0,138
