VIN,paint_start_time,paint_end_time,paint_proc_min,paint_changeover_min,paint_quality_hold_min,actual_paint_sequence
VIN0000001,2024-01-01 06:30:00,2024-01-01 06:31:00,1.5102562,0.0,0.0,1
VIN0000002,2024-01-01 06:31:00,2024-01-01 06:37:00,1.7104031,3.940992,0.0,2
VIN0000003,2024-01-01 06:37:00,2024-01-01 06:44:00,1.6140655,4.920887,0.0,3
VIN0000004,2024-01-01 06:45:00,2024-01-01 06:51:00,1.6657779,3.9058537,0.0,4
VIN0000005,2024-01-01 06:52:00,2024-01-01 06:58:00,1.4696385,4.8746256,0.0,5
VIN0000006,2024-01-01 06:58:00,2024-01-01 06:59:00,1.3104111,0.0,0.0,6
VIN0000007,2024-01-01 07:00:00,2024-01-01 07:05:00,1.4216589,3.9632777,0.0,7
VIN0000008,2024-01-01 07:12:00,2024-01-01 07:17:00,1.0261339,4.0975657,0.0,8
VIN0000009,2024-01-01 07:17:00,2024-01-01 07:23:00,1.350566,4.5723045,0.0,9
VIN0000010,2024-01-01 07:23:00,2024-01-01 07:30:00,1.4897817,5.6062668,0.0,10
VIN0000011,2024-01-01 07:30:00,2024-01-01 07:36:00,1.4295534,4.4661858,0.0,11
VIN0000012,2024-01-01 07:36:00,2024-01-01 07:37:00,1.5239131,0.0,0.0,12
VIN0000013,2024-01-01 07:37:00,2024-01-01 07:42:00,1.6851927,3.0353136,0.0,13
VIN0000014,2024-01-01 07:42:00,2024-01-01 07:46:00,1.1344887,2.9784535,0.0,14
VIN0000015,2024-01-01 07:46:00,2024-01-01 07:53:00,1.5075348,4.9605352,0.0,15
VIN0000016,2024-01-01 07:53:00,2024-01-01 07:58:00,1.2355712,4.4804943,0.0,16
VIN0000017,2024-01-01 07:58:00,2024-01-01 08:04:00,1.2171787,4.80444,0.0,17
VIN0000018,2024-01-01 08:04:00,2024-01-01 08:06:00,1.4286559,0.0,0.0,18
VIN0000019,2024-01-01 08:06:00,2024-01-01 08:12:00,1.036929,4.9180139,0.0,19
VIN0000020,2024-01-01 08:12:00,2024-01-01 08:16:00,1.1394707,3.1207455,0.0,20
VIN0000021,2024-01-01 08:16:00,2024-01-01 08:21:00,1.3148854,3.5749518,0.0,21
VIN0000022,2024-01-01 08:21:00,2024-01-01 08:22:00,1.4444368,0.0,0.0,22
VIN0000023,2024-01-01 08:22:00,2024-01-01 08:26:00,1.3200512,2.8381446,0.0,23
VIN0000024,2024-01-01 08:26:00,2024-01-01 08:31:00,1.1658871,3.45877,0.0,24
VIN0000025,2024-01-01 08:33:00,2024-01-01 08:38:00,1.4234059,3.0170746,0.0,25
VIN0000026,2024-01-01 08:38:00,2024-01-01 08:43:00,1.2109479,3.7427105,0.0,26
VIN0000027,2024-01-01 08:43:00,2024-01-01 08:49:00,1.2652467,5.3038171,0.0,27
VIN0000028,2024-01-01 08:49:00,2024-01-01 08:55:00,1.2599743,4.5430446,0.0,28
VIN0000029,2024-01-01 08:55:00,2024-01-01 08:56:00,0.9950638,0.0,0.0,29
VIN0000030,2024-01-01 08:56:00,2024-01-01 09:02:00,1.3333435,4.3547572,0.0,30
VIN0000031,2024-01-01 09:02:00,2024-01-01 09:08:00,1.5889417,5.1199807,0.0,31
VIN0000032,2024-01-01 09:08:00,2024-01-01 09:15:00,1.6190907,4.4616706,0.0,32
VIN0000033,2024-01-01 09:15:00,2024-01-01 09:20:00,1.4923355,3.7919388,0.0,33
VIN0000034,2024-01-01 09:20:00,2024-01-01 09:27:00,1.3939938,5.6438855,0.0,34
