shop,downtime_start,downtime_end,duration_min,reason
PaintShop,2024-01-06 12:40:00,2024-01-06 13:20:00,40,QualityHold
PaintShop,2024-01-10 08:01:00,2024-01-10 08:24:00,23,PaintPumpFault
BodyShop,2024-01-27 11:47:00,2024-01-27 12:06:00,19,RobotReset
BodyShop,2024-01-29 16:34:00,2024-01-29 17:17:00,43,WeldCellFault
BodyShop,2024-02-05 13:58:00,2024-02-05 14:25:00,27,WeldCellFault
BodyShop,2024-02-13 08:57:00,2024-02-13 09:15:00,18,QualityStop
BodyShop,2024-02-17 12:07:00,2024-02-17 12:36:00,29,RobotReset
PaintShop,2024-02-21 08:58:00,2024-02-21 09:20:00,22,QualityHold
BodyShop,2024-02-21 16:21:00,2024-02-21 16:41:00,20,WeldCellFault
BodyShop,2024-02-27 09:24:00,2024-02-27 09:47:00,23,QualityStop
PaintShop,2024-03-14 22:33:00,2024-03-14 23:00:00,27,OvenTempAlarm
BodyShop,2024-03-26 19:47:00,2024-03-26 20:04:00,17,RobotReset
BodyShop,2024-04-02 18:06:00,2024-04-02 18:27:00,21,QualityStop
PaintShop,2024-04-06 07:55:00,2024-04-06 08:23:00,28,BoothClean
PaintShop,2024-04-09 15:27:00,2024-04-09 15:41:00,14,BoothClean
BodyShop,2024-04-15 09:46:00,2024-04-15 10:09:00,23,QualityStop
PaintShop,2024-04-25 09:42:00,2024-04-25 09:55:00,13,BoothClean
PaintShop,2024-04-25 19:18:00,2024-04-25 19:50:00,32,PaintPumpFault
BodyShop,2024-04-26 16:08:00,2024-04-26 16:38:00,30,WeldCellFault
PaintShop,2024-04-27 09:36:00,2024-04-27 09:55:00,19,PaintPumpFault
BodyShop,2024-05-04 12:01:00,2024-05-04 12:39:00,38,MaterialShortage
PaintShop,2024-05-09 10:00:00,2024-05-09 10:22:00,22,PaintPumpFault
BodyShop,2024-05-28 17:38:00,2024-05-28 18:15:00,37,QualityStop
BodyShop,2024-06-05 19:02:00,2024-06-05 19:31:00,29,QualityStop
BodyShop,2024-06-17 09:26:00,2024-06-17 09:46:00,20,WeldCellFault
BodyShop,2024-06-20 13:23:00,2024-06-20 13:48:00,25,WeldCellFault
BodyShop,2024-06-21 08:45:00,2024-06-21 09:26:00,41,RobotReset
PaintShop,2024-06-26 12:05:00,2024-06-26 12:42:00,37,BoothClean
PaintShop,2024-06-29 11:27:00,2024-06-29 12:04:00,37,BoothClean
PaintShop,2024-07-24 12:29:00,2024-07-24 12:43:00,14,OvenTempAlarm
PaintShop,2024-07-26 07:02:00,2024-07-26 07:21:00,19,QualityHold
BodyShop,2024-08-08 11:43:00,2024-08-08 12:42:00,59,RobotReset
BodyShop,2024-08-10 21:30:00,2024-08-10 21:49:00,19,QualityStop
BodyShop,2024-08-19 21:31:00,2024-08-19 22:01:00,30,QualityStop
PaintShop,2024-09-02 21:15:00,2024-09-02 21:46:00,31,PaintPumpFault
BodyShop,2024-09-04 09:28:00,2024-09-04 10:09:00,41,RobotReset
BodyShop,2024-10-15 07:42:00,2024-10-15 08:22:00,40,QualityStop
BodyShop,2024-11-12 07:46:00,2024-11-12 08:37:00,51,RobotReset
BodyShop,2024-11-23 18:26:00,2024-11-23 19:30:00,64,RobotReset
BodyShop,2024-12-02 19:19:00,2024-12-02 19:46:00,27,MaterialShortage
PaintShop,2024-12-13 17:11:00,2024-12-13 17:34:00,23,QualityHold
BodyShop,2024-12-14 09:53:00,2024-12-14 10:05:00,12,WeldCellFault
