warehouse_capacity,blocked_vehicles,body_blocked_min_equiv,capex_eur,downtime_eur,total_eur
10,19649,107086.56,150000,713910399,714060399
12,16666,90258.43,180000,601722868,601902868
14,13716,75356.53,210000,502376843,502586843
16,11683,63935.72,240000,426238126,426478126
18,9688,52999.65,270000,353330994,353600994
20,7877,42605.53,300000,284036874,284336874
22,6083,33480.57,330000,223203807,223533807
24,4757,26442.4,360000,176282647,176642647
26,3700,20692.42,390000,137949478,138339478
28,2915,16469.91,420000,109799415,110219415
30,2301,12964.43,450000,86429533,86879533
32,1809,10084.48,480000,67229899,67709899
34,1368,7655.78,510000,51038531,51548531
36,1063,6026.83,540000,40178891,40718891
38,888,4945.62,570000,32970819,33540819
40,694,3712.3,600000,24748683,25348683
42,507,2746.2,630000,18308011,18938011
44,340,2002.75,660000,13351651,14011651
46,243,1460.13,690000,9734224,10424224
48,145,972.94,720000,6486244,7206244
50,122,802.13,750000,5347510,6097510
52,107,717.54,780000,4783615,5563615
54,98,641.8,810000,4278648,5088648
56,86,529.64,840000,3530943,4370943
58,67,399.55,870000,2663695,3533695
60,54,277.25,900000,1848337,2748337
62,40,204.71,930000,1364736,2294736
64,27,105.58,960000,703883,1663883
66,2,0.86,990000,5733,995733
68,0,0.0,1020000,0,1020000
70,0,0.0,1050000,0,1050000
72,0,0.0,1080000,0,1080000
74,0,0.0,1110000,0,1110000
76,0,0.0,1140000,0,1140000
78,0,0.0,1170000,0,1170000
80,0,0.0,1200000,0,1200000
82,0,0.0,1230000,0,1230000
84,0,0.0,1260000,0,1260000
86,0,0.0,1290000,0,1290000
88,0,0.0,1320000,0,1320000
90,0,0.0,1350000,0,1350000
92,0,0.0,1380000,0,1380000
94,0,0.0,1410000,0,1410000
96,0,0.0,1440000,0,1440000
98,0,0.0,1470000,0,1470000
100,0,0.0,1500000,0,1500000
102,0,0.0,1530000,0,1530000
104,0,0.0,1560000,0,1560000
106,0,0.0,1590000,0,1590000
108,0,0.0,1620000,0,1620000
110,0,0.0,1650000,0,1650000
112,0,0.0,1680000,0,1680000
114,0,0.0,1710000,0,1710000
116,0,0.0,1740000,0,1740000
118,0,0.0,1770000,0,1770000
120,0,0.0,1800000,0,1800000
122,0,0.0,1830000,0,1830000
124,0,0.0,1860000,0,1860000
126,0,0.0,1890000,0,1890000
128,0,0.0,1920000,0,1920000
130,0,0.0,1950000,0,1950000
132,0,0.0,1980000,0,1980000
134,0,0.0,2010000,0,2010000
136,0,0.0,2040000,0,2040000
138,0,0.0,2070000,0,2070000
140,0,0.0,2100000,0,2100000
142,0,0.0,2130000,0,2130000
144,0,0.0,2160000,0,2160000
146,0,0.0,2190000,0,2190000
148,0,0.0,2220000,0,2220000
150,0,0.0,2250000,0,2250000
152,0,0.0,2280000,0,2280000
154,0,0.0,2310000,0,2310000
156,0,0.0,2340000,0,2340000
158,0,0.0,2370000,0,2370000
160,0,0.0,2400000,0,2400000
162,0,0.0,2430000,0,2430000
164,0,0.0,2460000,0,2460000
166,0,0.0,2490000,0,2490000
168,0,0.0,2520000,0,2520000
170,0,0.0,2550000,0,2550000
172,0,0.0,2580000,0,2580000
174,0,0.0,2610000,0,2610000
176,0,0.0,2640000,0,2640000
178,0,0.0,2670000,0,2670000
180,0,0.0,2700000,0,2700000
182,0,0.0,2730000,0,2730000
184,0,0.0,2760000,0,2760000
186,0,0.0,2790000,0,2790000
188,0,0.0,2820000,0,2820000
190,0,0.0,2850000,0,2850000
192,0,0.0,2880000,0,2880000
194,0,0.0,2910000,0,2910000
196,0,0.0,2940000,0,2940000
198,0,0.0,2970000,0,2970000
200,0,0.0,3000000,0,3000000
